id,title,kind,synopsis,summaries,votes
120004,The Relic,movie,Brazilian rain tribal ritual state trance kind potion tribe witch kind red fungal growth hysterical sight native costume face-paint commercial dock cargo ship ready ship captain ship board ship cargo wooden despair ship several dock title card same cargo ship dock ship several superstitious lucky bullet protection busy grand new exhibit superstition evolutionary biologist work museum curator competition grant research museum chagrin colleague same grant grant wealthy gala new exhibit office colleague several airfreight ship stone artifact green potion remainder basement museum school group excursion museum school day museum museum bad smell basement stairwell body loose guard brain killer investigation stone artifact technician new exhibit depiction mythical mythical creature various coroner corpse present victim brain hypothalamus pituitary board cargo ship same police museum killer homeless man cavernous basement accident rapist museum head security satisfied explanation cargo ship wife due night gala honor event heavy presence gala substance human red substance dose same hypothalamus enough rapid mutation beetle container size rat overnight analysis beetle theory sudden jump evolution aberrant search subterranean old sewage system museum search dog handler museum panic security system museum everyone roof elect museum main exhibit hall ambitious head security hall beast giant museum beast hybrid insect reptile various other human huge human alive dead beast tunnel liquid nitrogen lab beast roof lab other side metal door lab flammable fuel metal container water,detective anthropologist try South American lizard-like god rampage museum::researcher museum owner little police gruesome cargo ship murder museum help museum interest colleague large creature museum benefit reception city mayor,22063
120011,The Return of Dracula,movie,identity artist way artistic recluse day family mirror bedroom victim European police authority night sleep power next night everyone party mine boyfriend mine time stake wood,vampire native artist identity dead man American::passenger identity small community cousin strange behavior day night young policeman friend count gift eternal life,999
120018,The Swindle,movie,film table businessman convention room man drug bar money man wallet fake company clear living unsuspecting businessman resort enough profit much hardship victim way victim crime money much comfortable relationship old father few next hit group resort crime few location new mark international banker something uncomfortable Swiss crime syndicate metal brief case everything gangster money thinking,pair scam day multinational company due money side own::smalltime naive salesman garden French vacation next scheme ten congress hotel treasurer company five-million money scheme naivety con dangerous,1898
120082,Scream ,movie,preview book wall bathroom cubicle killer next killer boyfriend mask death scene wild advantage stabs many killer costume publicity material movie studio nobody attack crowd other survivor killer loose campus unwelcome reunion killer copycat ploy sorority house phone killer police body nearby martini mixer boyfriend house killer escape police station notice police chief group college area killer killer phone van body lecture room video footage glimpse TV screen footage cameraman perspective video porch park video notice projector room chase sound-system room compartment attention soundproof glass couple horror glass door killer shelf killer vehicle traffic killer car killer unconscious roommate wreckage car unconscious killer front seat killer mask school theater new boyfriend friend stage prop chest partner stage door killer head other cop gun previous boyfriend plan famous horror cinema violence society website college tuition part place motive revenge son spree potential threat legal defense absurd stage alive prop jar backstage front stage armlock man mother gun alive head case ambulance hospital scar tissue fatal hospital news team story heroine man interview news team time place price interview hell movie campus,first series college life someone new string::college new spree help body count list::tragic prison cash unfortunate incarceration bestseller film film play date cycle death anew surrogate sister sequel horror film number body count::long time friend book life major motion picture college new film history sure present college gruesome movie news way campus dead investigate someone rookie killer someone wiser campus good old fashion revenge::psychotic killer dead motion picture book,142055
120087,The Second Jungle Book Mowgli Baloo,movie,tree branch chimp tree stump ground scene trainer mark chimp boy trainer verbal hand tree trainer trainer chimp ankle jungle rescue jungle bear black panther approach friend wolf scene mark tree bear scene wolf roach crawl floor roach mouth scene real fake roach real roach mark shot fake boy roach mouth fake mark verbal hand tiger cliff river water cliff water deer water top head scene frog scene deer mark verbal hand rest verbal hand safety precaution additional scene train small fat man monkey shoulder monkey collar chain table female passenger table excitement officer pocket table monkey man wallet monkey pick-pocket scene behavior scene pre-trained verbal hand food reward new find train track train train scene animal mark point point second trainer window train crawl top jumping car car shoulder boy jungle scene several train actual jumping boy monkey monkey roof train safety cable roof monkey waist tie cable mark point trainer monkey monkey car other trainer opposite rail old camp site tent pin tent jump old cart cart cart cliff scene waist present cart process car cart safety cable speed cart segment tree blue screen post production new friend site scent man game war hat old friend scene mark buzzer verbal hand mark wolf hybrid game boy several man python neck scene man tree boy real snake trainer actor stuntdouble completion shot wild capture type dungeon chimp grate way scene trainer next mark bear way dungeon verbal chimp mark verbal hand white cage night camp tiger animal stick grateful face cage several Several several trainer mark verbal hand several wild food clothing crazy scene captain gun direction mark verbal hand food reward segment gun pit numerous attempt rope safety safety rope pit python hole roof leverage snake owner safety several real snake scene boy time floor several body time trainer action screen post production trainer boy completion shot rope trainer monkey shoulder monkey trainer rope trainer uncle tree tiger scene trainer tiger stuntman buzzer tiger next mark tiger stuntman treat animal point trainer point many actor various monkey mark verbal trainer Other animal action several monkey behavioral such food spoon hand verbal buzzer several leopard various behavioral such etc action mark verbal hand buzzer reward,Pre-teen jungle boy human world circus curiosity local grandee help obstacle late brother rich estate::tiger youngster shelter pack black panther black bear brother age human world home monkey jungle target large jungle tracker huge python man-cub vengeful paternal uncle dead inheritance,883
120102,Seven Years in Tibet,movie,introduction young gift ornate music box special meaning young child progress trek high plateau story young year old boy spiritual leader thirst western knowledge adolescent different pregnant wife briefly train station departure expedition evident departure station wife hand resentment selection leader expedition train station hostile flag reluctance real-life time arrogance self-sufficiency become apparent train journey expedition mountain expedition group leg group life danger inability cliff due pain injury relationship avalanche group base determination summit mountain traveller photograph protection base truck prison camp capture divorce re-marry son several unsuccessful escape British uniform several group separate northern northern food religious offering food rest group work border east horseback prison next town food same garpon leader province reason threat attack garpon photo small town border little return food watch father Chinese army uniform German army guard escape mountainside clad heavy unable escape furious selfishness indifferent begs forgiveness offering way high plateau arduous journey footage director son custom difficult journey pilgrimage repentance horseback meat raw pair encounter group special permission instruction sheet aid kit recognition food condition home permission conversation secretary regent gift new home tailor woman several scrapbook gold medal unimpressed foolish pleasure Western civilization different man ego tailor jacket pocket excuse store woman telescope young Chinese embassy Chinese ambassador government financial suspicious official advancement Chinese marriage life busy house own settlement love resentment marriage survey city home elderly wife letter letter son letter time beautiful courtyard sister th presence presence interior dark chamber mysterious end much amusement young throne mop blond hair yellow head movie cinema palace western civilization private tutor process theatre problem earth mother past life religious paramount solution movie house world geography number important festival river promotion position minister party old watch chance shop gift note friendship radio announcer party evil night shadow meeting cabinet regent foreign sovereign Chinese Chinese embassy crisis terrible nightmare Chinese border birthplace other comfort dream frontier Chinese request Chinese flag many sand speech peace-loving nation head Chinese delegation religion poison war small army many decision counter-attack treaty mountain time other Chinese Chinese flag surrender jacket gift Chinese invasion old spiritual temporal leader final visit top palace gift music box film son young boy son musical box gift crack door film finale son art top mountain flag peak,True story Austrian mountain climber time takeover::death glory country Austrian pride expectant wife egoist loner team bad several vain holy city place food shelter tailor child curiosity world hair movie theater news end war divorce son refusal nothing devastation destruction betrayal own::arrogant Austrian mountain wife infant son expedition prisoner war fellow escapee way wife Western culture-obsessed teenage spiritual leader nation war friendship haughty crisis::wife prisoner-of-war camp child confrontation escalate::Austrian mountaineer hero propaganda mountain series camp life close confidant,110469
120131,The Lion King Simba's Pride,video movie,film previous film few presentation new daughter spirit ceremony overprotective day small pond half princess other half snack slimy crunchy young cub river friendly unaware mother hand-chosen successor cub son sister status cub death smartest moment idea new friendship revenge death adult home solo hunt progress own father surveillance home unsuccessful plan motion fire chance return life same night nightmare death father place cliff next morning watering hole lesson example ordinary meerkat something night real son part guidance chance father real young musical journey jungle fall morning walk true story walk daughter son pride brief dried-up gorge mother death paw face eye forgiveness aware ambush den search thunderstorm pride war fierce fight demand cease own wise look correct insight daughter other cliff rock storm-swollen river offer help death top,daughter key resolution bitter feud outcast pride mate::daughter care forbidden lion cub son now-dead king relationship relationship daughter::daughter true king young lion trouble other lion family wild adventure help peace,51755
120148,Sliding Doors,movie,film young public job plot parallel life train timeline train underground conversation home time boyfriend American ex-girlfriend friend pop life own public firm new hair short love relationship breakup timeline train taxi man home time life oblivious infidelity part-time infidelity life several number pregnant baby timeline pregnant child office secretary bridge soon-to-be ex-wife maintain cordial relationship sick mother road car second timeline job interview international firm interview pregnant child doorbell interview baby two-timing boyfriend infidelity staircase accident car timeline second same emergency room baby timeline internal bleeding newfound timeline good other life final scene place train universe hospital mother relationship elevator start film elevator job line film rejoinder side life Spanish response audience next,woman life hinge unknown train parallel::public relation position company home train subway possibility life story parallel life other life love::work morning job home thing time few second version reality tube home loathsome other reality tube home tandem happy new relationship other live worthless novel fact affair::big company film bos train flat life version second rest film scenario whole life split man home boyfriend woman crummy waitress job,58351
120166,The Sorcerer's Apprentice,movie,evil sorceress talisman world last fourteen new town elderly magician neighbor natural talent magic old man same scar original staff-bearer sign time battle good own choice good evil battle own spirit magic path fate world,new wizard young ancient battle world,424
120177,Spawn,movie,military soldier covert government agency mission plant top assassin gas fire Faustian deal eternal servant leader army able fianc e offer life daughter strange clown-like demon guide path mysterious old man fellow soul high-class dealer ultimate biological weapon reception strange armor attack device heart worldwide release vital device safeguard assassination apocalypse demonic form necroplasm armor fellow newsman evidence transmission room computer family hostage death death death device body army real world final battle demon head place world lust vengeance,mercenary reluctant soldier::double-crossed evil bos deal devil wife devil minion deal world virus::hit-man government day someone course deal life certain amount energy help war offer wife face body suit friend::secret agent organization operation devil world devil little memory wife world domination special detonator virus heart anybody plan everybody world devil army assistant world::military soldier covert government agency top assassin demonic ruler various Faustian deal eternal servant leader army able fiancee offer servant necroplasm suit creature protection world crony revenge former bos killer deal lethal virus world,59131
